click_date,lag_days,id_count,channel_count,pv,uv,orders,red_packets,redemptions,cpa,cpa_income,cps_income,estimated_income,redemption_rate,order_rate_by_uv,uv_income
2026-04-13,14,381,81,3227387,2531201,63512,241122,73936,78394,21159,27867,49026,0.30663315665928453,0.025091646218534207,0.01936867123551231
2026-04-14,13,381,82,1283733,969160,48369,169785,52407,65148,17655,22871,40526,0.3086668433607209,0.049908167897973504,0.04181559288455983
2026-04-14,14,381,82,1283733,969160,50643,169785,55233,65148,17637,23529,41166,0.32531142327060697,0.05225452969581906,0.04247595856205374
2026-04-15,12,374,80,2127620,1519871,70748,199610,68335,219108,59404,32534,91938,0.34234256800761487,0.046548687355703215,0.060490660062597415
2026-04-15,13,374,80,2127620,1519871,73475,199610,71272,219108,59343,32702,92045,0.3570562597064275,0.04834291857664236,0.06056106077423676
2026-04-15,14,374,80,2127620,1519871,76162,199610,74399,219108,59297,33136,92433,0.3727218075246731,0.05011083177453876,0.06081634559775139
2026-04-16,11,384,81,1811577,1307963,50962,189125,53026,125617,34102,24331,58433,0.2803754130865829,0.038962875861167326,0.04467481113762392
2026-04-16,12,384,81,1811577,1307963,53160,189125,55603,125617,34064,23772,57836,0.29400132187706546,0.04064335153211521,0.044218376207889674
2026-04-16,13,384,81,1811577,1307963,55248,189125,57869,125617,34039,24297,58336,0.3059828155981494,0.04223972696475359,0.044600650018387374
2026-04-16,14,384,81,1811577,1307963,57492,189125,60871,125617,34022,24820,58842,0.3218559153998678,0.043955371826267256,0.04498751111461104
2026-04-17,10,380,80,2025313,1445898,49769,197639,52975,116657,31658,25117,56775,0.26803920278892324,0.0344208235988984,0.03926625529601673
2026-04-17,11,380,80,2025313,1445898,52064,197639,55594,116657,31622,27015,58637,0.28129063595747805,0.036008072491973846,0.0405540363151481
2026-04-17,12,380,80,2025313,1445898,54106,197639,57957,116657,31594,26856,58450,0.2932467782168499,0.03742034362036603,0.040424704923860466
2026-04-17,13,380,80,2025313,1445898,56086,197639,60324,116657,31580,27088,58668,0.30522315939667777,0.03878973482223504,0.04057547627840968
2026-04-17,14,380,80,2025313,1445898,58468,197639,63419,116657,31576,27771,59347,0.32088302409949454,0.04043715393478655,0.041045080635010216
2026-04-18,9,382,79,1942458,1370395,43471,179895,45120,89700,24312,20712,45024,0.2508129742349704,0.031721510951222096,0.032854760853622496
2026-04-18,10,382,79,1942458,1370395,45635,179895,47512,89700,24287,22544,46831,0.26410961950026407,0.03330061770511422,0.034173358776119295
2026-04-18,11,382,79,1942458,1370395,47569,179895,49574,89700,24267,24223,48490,0.2755718613635732,0.03471188963765921,0.03538395863966229
2026-04-18,12,382,79,1942458,1370395,49331,179895,51610,89700,24256,23147,47403,0.2868895744739987,0.03599765031250114,0.03459075667964346
