event_type,event_name,start_date,end_date,event_level,benefit,duration_days
平台活动,超级88 第一场,2026-04-07,2026-04-10,S级,官方立减商品 8.8 折起,4
平台活动,超级88 第二场,2026-04-15,2026-04-19,S级,官方立减商品 8.8 折起,5
平台活动,百亿加补周,2026-04-23,2026-04-30,S级,百亿加补周,8
营销活动,超U快抢日,2026-04-01,2026-04-30,常规,淘礼金红包至高补贴20%,30
营销活动,U享礼金,2026-04-01,2026-04-30,常规,礼金面额5%-15%,30
营销活动,品牌团 4月第一场,2026-04-07,2026-04-10,重点,天猫超市 400-80 淘客券,4
营销活动,品牌团 4月第二场,2026-04-15,2026-04-19,重点,天猫超市 400-80 淘客券,5
营销活动,品牌团 4月第三场,2026-04-23,2026-04-30,重点,天猫超市 400-80 淘客券,8
推广激励,推广激励 4/22-4/26,2026-04-22,2026-04-26,重点,主会场/营销金/千万补贴等,5
推广激励,推广激励 4/27-4/30,2026-04-27,2026-04-30,重点,主会场/营销金/千万补贴等,4
平台活动,510周年庆,2026-05-06,2026-05-10,S级,官方立减商品 8.5 折起,5
平台活动,520告白季,2026-05-13,2026-05-20,S级,官方立减商品 8.5 折起,8
营销活动,超U补贴日,2026-05-01,2026-06-30,常规,淘礼金红包至高补贴20%,61
营销活动,U享礼金,2026-05-01,2026-06-30,常规,礼金面额5%-15%,61
营销活动,天猫超秒 第一段,2026-05-11,2026-05-12,重点,每天10点 百款商品1元起购,2
营销活动,天猫超秒 第二段,2026-05-18,2026-05-19,重点,每天10点 百款商品1元起购,2
营销活动,品牌团 5月,2026-05-13,2026-05-30,重点,服饰 淘客专项加补券,18
营销活动,品牌日 快淘秒杀白马季,2026-05-16,2026-05-20,重点,价格补贴至高21%,5
营销活动,品牌日 快淘百补大牌日,2026-05-24,2026-05-26,重点,价格补贴至高21%,3
营销活动,品牌日 快淘淘金币品类日,2026-05-27,2026-05-29,重点,价格补贴至高21%,3
推广激励,推广激励 5/4-5/10,2026-05-04,2026-05-10,重点,主会场/红包会场/超级红包等,7
推广激励,推广激励 5/11-5/20,2026-05-11,2026-05-20,重点,主会场/红包会场/超级红包等,10
推广激励,推广激励 5/21-5/30,2026-05-21,2026-05-30,重点,618前置推广激励,10
618节奏,预售定金,2026-05-21,2026-05-26,S级,618前置蓄水,6
618节奏,618抢先购,2026-05-21,2026-05-30,S级,618抢先购,10
618节奏,现货售卖,2026-05-27,2026-06-03,S级,现货转化窗口,8
618节奏,618狂欢节,2026-05-31,2026-06-21,S级,大促主周期,22
主题活动,超级划算,2026-05-06,2026-05-30,重点,价佣同享,25
主题活动,跨店满减,2026-05-01,2026-06-30,常规,全行业跨店满减,61
主题活动,直播间限时秒杀,2026-05-01,2026-06-30,常规,直播限时订单补贴,61
