activity_group,activity_name,start_date,end_date,event_level,benefit,color_key,duration_days,source
主站节奏,510周年庆,2026-05-06,2026-05-10,S+,510周年庆,red,5,用户截图重点整理
主站节奏,520告白季,2026-05-13,2026-05-20,S+,520告白季,red,8,用户截图重点整理
主站节奏,618抢先购,2026-05-21,2026-05-30,S+,618抢先购,red,10,用户截图重点整理
主站节奏,618狂欢节,2026-05-31,2026-06-21,S+,618狂欢节,red,22,用户截图重点整理
超级红包,超级红包,2026-05-12,2026-05-27,重点,红包资源窗口,orange,16,用户截图重点整理
聚好卖,第一阶段,2026-05-07,2026-05-10,重点,聚好卖阶段,green,4,用户截图重点整理
聚好卖,第二阶段,2026-05-12,2026-05-17,重点,聚好卖阶段,green,6,用户截图重点整理
聚好卖,第三阶段,2026-05-19,2026-05-24,重点,聚好卖阶段,green,6,用户截图重点整理
聚好卖,第四阶段,2026-05-26,2026-05-31,重点,聚好卖阶段,green,6,用户截图重点整理
聚好卖,第一阶段,2026-06-02,2026-06-07,重点,聚好卖阶段,green,6,用户截图重点整理
聚好卖,第二阶段,2026-06-09,2026-06-14,重点,聚好卖阶段,green,6,用户截图重点整理
聚好卖,第三阶段,2026-06-16,2026-06-20,重点,聚好卖阶段,green,5,用户截图重点整理
聚好卖,第四阶段,2026-06-23,2026-06-28,重点,聚好卖阶段,green,6,用户截图重点整理
精选库主推栏目,第一期,2026-05-07,2026-05-10,重点,精选库主推,pink,4,用户截图重点整理
精选库主推栏目,第二期,2026-05-12,2026-05-16,重点,精选库主推,pink,5,用户截图重点整理
精选库主推栏目,第三期,2026-05-19,2026-05-23,重点,精选库主推,pink,5,用户截图重点整理
精选库主推栏目,第四期,2026-05-26,2026-05-30,重点,精选库主推,pink,5,用户截图重点整理
精选库主推栏目,第一期,2026-06-02,2026-06-07,重点,精选库主推,pink,6,用户截图重点整理
精选库主推栏目,第二期,2026-06-09,2026-06-14,重点,精选库主推,pink,6,用户截图重点整理
精选库主推栏目,第三期,2026-06-16,2026-06-20,重点,精选库主推,pink,5,用户截图重点整理
精选库主推栏目,第四期,2026-06-23,2026-06-28,重点,精选库主推,pink,6,用户截图重点整理
赏金冲榜赛,赏金冲榜赛,2026-05-21,2026-05-25,重点,冲榜赛,orange,5,用户截图重点整理
赏金冲榜赛,赏金冲榜赛,2026-05-31,2026-06-04,重点,冲榜赛,orange,5,用户截图重点整理
赏金冲榜赛,赏金冲榜赛,2026-06-11,2026-06-15,重点,冲榜赛,orange,5,用户截图重点整理
千万补贴,快闪任务期,2026-05-13,2026-05-16,重点,千万补贴,purple,4,用户截图重点整理
千万补贴,快闪权益期,2026-05-17,2026-05-20,重点,千万补贴,purple,4,用户截图重点整理
千万补贴,大促版1,2026-05-21,2026-05-26,重点,千万补贴,purple,6,用户截图重点整理
千万补贴,大促版2,2026-05-27,2026-06-01,重点,千万补贴,purple,6,用户截图重点整理
千万补贴,快闪任务期2,2026-06-02,2026-06-05,重点,千万补贴,purple,4,用户截图重点整理
千万补贴,快闪权益期2,2026-06-06,2026-06-09,重点,千万补贴,purple,4,用户截图重点整理
千万补贴,快闪任务期3,2026-06-10,2026-06-12,重点,千万补贴,purple,3,用户截图重点整理
千万补贴,快闪权益期3,2026-06-13,2026-06-15,重点,千万补贴,purple,3,用户截图重点整理
千万补贴,大促版3,2026-06-16,2026-06-21,重点,千万补贴,purple,6,用户截图重点整理
佣金膨胀,佣金膨胀,2026-05-06,2026-05-10,重点,佣金激励,orange,5,用户截图重点整理
佣金膨胀,佣金膨胀,2026-05-13,2026-05-20,重点,佣金激励,orange,8,用户截图重点整理
佣金膨胀,佣金膨胀,2026-05-21,2026-06-11,重点,佣金激励,orange,22,用户截图重点整理
特色会场,特色会场,2026-05-01,2026-06-30,常驻,特色会场,pink,61,用户截图重点整理
