recovery_date,covered_click_days,diagonal_marginal_sum_pp,diagonal_marginal_avg_pp,diagonal_marginal_median_pp,max_single_day_marginal_pp,strength_level,active_events,active_event_types,has_s_level_event,has_promotion_incentive,days_from_nearest_event_start
2026-04-28,14,29.300504550464726,2.0928931821760517,1.633032007279335,4.589772741627392,正常,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,平台活动；推广激励；营销活动,True,True,1
2026-04-29,14,26.562707675861525,1.8973362625615375,1.4748511885815705,4.2705951090779495,正常,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,平台活动；推广激励；营销活动,True,True,2
2026-04-30,14,25.328656872468034,1.8091897766048597,1.5755319468976041,3.888892511850886,正常,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,平台活动；推广激励；营销活动,True,True,3
2026-05-01,14,25.262742718628694,1.8044816227591924,1.4781205621219513,4.3196924894712625,正常,超U补贴日；U享礼金；跨店满减；直播间限时秒杀,主题活动；营销活动,False,False,0
2026-05-02,14,28.511261640534407,2.0365186886096005,1.592133405183667,7.11946884003001,正常,超U补贴日；U享礼金；跨店满减；直播间限时秒杀,主题活动；营销活动,False,False,1
2026-05-03,14,29.520725447666337,2.1086232462618812,1.483687917710398,6.421791224983128,正常,超U补贴日；U享礼金；跨店满减；直播间限时秒杀,主题活动；营销活动,False,False,2
2026-05-04,14,32.26851910194912,2.304894221567794,1.5483216395226123,6.497971305167464,正常,超U补贴日；U享礼金；推广激励 5/4-5/10；跨店满减；直播间限时秒杀,主题活动；推广激励；营销活动,False,True,0
2026-05-05,14,35.06544200120463,2.5046744286574736,1.633974790793101,6.1395131579920905,正常偏强,超U补贴日；U享礼金；推广激励 5/4-5/10；跨店满减；直播间限时秒杀,主题活动；推广激励；营销活动,False,True,1
2026-05-06,14,43.07496293081227,3.0767830664865907,1.9766341647670354,6.571764893030631,强,510周年庆；超U补贴日；U享礼金；推广激励 5/4-5/10；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,0
2026-05-07,14,40.26192489226279,2.8758517780187707,2.0135031741417633,6.131614107889529,强,510周年庆；超U补贴日；U享礼金；推广激励 5/4-5/10；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,1
2026-05-08,14,37.11523243164517,2.6510880308317977,2.322934673195107,5.66616996049912,强,510周年庆；超U补贴日；U享礼金；推广激励 5/4-5/10；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,2
2026-05-09,14,35.336915642998385,2.524065403071313,2.5212909953504035,5.372157500518282,正常偏强,510周年庆；超U补贴日；U享礼金；推广激励 5/4-5/10；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,3
2026-05-10,14,35.74662221268176,2.553330158048697,2.4534662669084915,4.905777395906419,正常偏强,510周年庆；超U补贴日；U享礼金；推广激励 5/4-5/10；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,4
2026-05-11,14,35.582341488208556,2.5415958205863256,2.191498957987037,5.080522934078332,正常偏强,超U补贴日；U享礼金；天猫超秒 第一段；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,主题活动；推广激励；营销活动,False,True,0
2026-05-12,14,34.96945824597168,2.497818446140834,2.005468866824459,5.223022958463575,正常,超U补贴日；U享礼金；天猫超秒 第一段；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,主题活动；推广激励；营销活动,False,True,1
2026-05-13,14,49.84383876913006,3.560274197795004,2.9023823929438226,9.143853195440435,极强,520告白季；超U补贴日；U享礼金；品牌团 5月；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,0
2026-05-14,14,43.164679149001735,3.083191367785838,2.3633989230542554,9.627765556939048,极强,520告白季；超U补贴日；U享礼金；品牌团 5月；推广激励 5/11-5/20；超级划算；跨店满减；直播间限时秒杀,主题活动；平台活动；推广激励；营销活动,True,True,1
